A
MYPA003	Bunyip	Swamp Thing	Paleontology	Paleontology Mythic Cards	Mythic	Standard	
PFF003	Eudimorphodon	Piscavorious	Paleontology	Fearsome Flyers	Common	Limited	
3	29	2020					
Play	Cible	both hand	Album	Oceans and Seas			
	Effet	power	-15				
	Duree	turn	1				

PFF026	Haast's Eagle	Haast To Be Perfect	Paleontology	Fearsome Flyers	Epic	Limited	
8	76						
Return	Condition	round won	>	0			
	Condition	turn score	>	0			
	Cible	player					
	Effet	energy per turn	5				
	Duree	turn	3				

PFF033	Icarosaurus	Icarus Lizard	Paleontology	Fearsome Flyers	Epic	Limited	
5	47						
Play	Condition	voisin	next to	Name	The Sun		
	Cible	player deck	Collection	Fearsome Flyers			
	Effet	power	21				
	Duree	turn	5				

PFF025	Jeholornis	Naming Dispute	Paleontology	Fearsome Flyers	Rare	Limited	
7	63						
Draw	Condition	round score	<	0			
	Cible	self					
	Effet	cost	-5				
	Duree	until played					

PFF008	Microraptor	Four-winged	Paleontology	Fearsome Flyers	Common	Limited	
5	47	2020					
Play	Cible	player hand	Collection	Birds			
	Effet	power	15				
	Duree	turn	1				

PFF001	Ornithocheirus		Paleontology	Fearsome Flyers	Common	Limited	
2	19	2020					

PFF016	Peteinosaurus	Small Fly	Paleontology	Fearsome Flyers	Rare	Limited	
2	17	2020					
Return	Cible	player					
	Effet	energy per turn	1				
	Duree	Round	1				
Play	Cible	player hand	Name	Thick-headed Fly			
	Effet	power	20				
	Duree	turn	1				

PFF004	Pteranodon	Soar, Loser	Paleontology	Fearsome Flyers	Legendary	Limited	
4	31	2020					
Return	Condition	turn score	>	0			
	Cible	player					
	Effet	energy	6				

PFF012	Pterodactylus	Night Pterrors	Paleontology	Fearsome Flyers	Legendary	Limited	
4	27	2020					
Return	Cible	player remaining					
	Effet	power	15				
	Duree	until played					

PFF021	Pterodaustro	Flamin-Go!	Paleontology	Fearsome Flyers	Epic	Limited	
3	32						
Draw	Cible	player deck	Name	Flamingos			
	Effet	power	46				
	Duree	permanently					

PFF007	Quetzalcoatlus	Power of the Serpent God	Paleontology	Fearsome Flyers	Rare	Limited	
7	52	2020					
Play	Cible	player hand	Name	Bushmaster			
	Cible	player hand	Name	Quetzalcoatl			
	Effet	power	50				
	Duree	turn	1				

PFF014	Rhamphorhynchus	Well Preserved	Paleontology	Fearsome Flyers	Common	Limited	
3	10	2020					
Return	Cible	player remaining	Album	Paleontology			
	Effet	power	10				
	Duree	until played					

PFF024	Sharovipteryx	Maria Sharovipteryx	Paleontology	Fearsome Flyers	Rare	Limited	
4	39						
Draw	Cible	player deck	Name	Tennis			
	Effet	cost	-1				
	Duree	permanently					

PFF011	Tapejara	Old Being	Paleontology	Fearsome Flyers	Common	Limited	
3	10	2020					
Play	Cible	player hand	Collection	Fearsome Flyers			
	Effet	power	20				
	Duree	turn	1				

PFF005	Thalassodromeus		Paleontology	Fearsome Flyers	Common	Limited	
4	39	2020					

PFF032	Tropeognathus	Keel Jaw	Paleontology	Fearsome Flyers	Rare	Limited	
4	37						
Play	Condition	player deck	Album	Oceans and Seas	=	1	
	Cible	player hand	Collection	Fearsome Flyers			
	Effet	Power of the Serpent God	22				
	Duree	turn	1				

PFF010	Tupuxuara	Simply the Crest	Paleontology	Fearsome Flyers	Common	Limited	
4	35	2020					
Play	Cible	player hand	Name	Parasaurolophus			
	Effet	power	30				
	Duree	turn	1				

PFF035	Woodward's Eagle	Open Habitat	Paleontology	Fearsome Flyers	Epic	Limited	
8	55						
Play	Cible	player hand	Collection	Fearsome Flyers			
	Effet	power	5				
	Multiplicateur	player deck	Collection	Reptiles			
	Duree	turn	3				

PFF029	Yanornis	Upstroke Uptick	Paleontology	Fearsome Flyers	Legendary	Limited	
3	30						
Play	Condition	Round	1				
	Cible	player deck	Album	Paleontology			
	Effet	power	18				
	Duree	until played					
Play	Condition	Round	3				
	Cible	player deck	Album	Paleontology			
	Effet	power	18				
	Duree	until played					
Play	Condition	Round	5				
	Cible	player deck	Album	Paleontology			
	Effet	power	18				
	Duree	until played					

PFF022	Yi Qi	Stranger Wings	Paleontology	Fearsome Flyers	Epic	Limited	
7	65						
Draw	Cible	player hand					
	Filtre	random	2				
	Effet	power	40				
	Duree	Round	1				
Draw	Cible	player hand					
	Filtre	random	2				
	Effet	cost	3				
	Duree	Round	1				

PFF019	Zhejiangopterus	Ready to Swoop	Paleontology	Fearsome Flyers	Epic	Limited	
6	42	2020					
Return	Cible	player deck	Collection	Fearsome Flyers			
	Effet	cost	-1				
	Duree	until played					
Return	Condition	round score	>	0			
	Cible	player deck	Collection	Fearsome Flyers			
	Effet	cost	-1				
	Duree	until played					

PFF020	Zhenyuanopterus	Grin and Bear It	Paleontology	Fearsome Flyers	Rare	Limited	
9	65	2020					
Return	Condition	turn score	<	0			
	Cible	player					
	Effet	power per turn	65				
	Duree	turn	2				

PGB005	Barnum Brown	We Have a T-Rex	Paleontology	Groundbreakers	Legendary	Limited	
7	65						
Draw	Condition	player deck	Name	Tyrannosaurus Rex			
	Cible	player deck	Collection	Groundbreakers			
	Effet	cost	-1				
	Duree	permanently					
Play	Condition	voisin	next to	Tyrannosaurus Rex			
	Cible	player deck	Collection	Carnivores			
	Effet	power	24				
	Duree	until played					

PGB010	Benjamin Franklin Mudge	Field Notes	Paleontology	Groundbreakers	Common	Limited	
2	18						
Play	Condition	player deck	Name	Allosaurus			
	Cible	player hand	Collection	Groundbreakers			
	Effet	power	7				
	Duree	permanently					
Play	Condition	player deck	Name	Diplodocus			
	Cible	player hand	Collection	Groundbreakers			
	Effet	power	7				
	Duree	permanently					

PGB008	Edwin H. Colbert	Fossil Haul	Paleontology	Groundbreakers	Common	Limited	
8	78						
Play	Condition	player deck	Name	Coelophysis			
	Cible	player deck	Collection	Groundbreakers			
	Effet	power	5				
	Duree	until played					
Play	Condition	player deck	Name	Georgia O'Keeffe			
	Cible	player deck	Collection	Groundbreakers			
	Effet	power	5				
	Duree	until played					

PGB003	Georges Cuvier	Catastrophism	Paleontology	Groundbreakers	Rare	Limited	
6	48						
Draw	Cible	player deck	Album	Paleontology			
	Filtre	random	9				
	Effet	power	22				
	Duree	turn	2				

PGB011	Gideon Mantell	Iguana-Saurus	Paleontology	Groundbreakers	Common	Limited	
4	39						
Draw	Cible	player deck	Name	Iguanodon			
	Effet	power	35				
	Duree	permanently					

PGB015	Henry De La Beche	High (Palaeontographical) Society	Paleontology	Groundbreakers	Legendary	Limited	
6	48						
Draw	Condition	round won	>	0			
	Cible	player hand	Album	Paleontology			
	Effet	power	15				
	Duree	until played					
Play	Condition	round score	>	0			
	Cible	self					
	Effet	power	60				
	Duree	permanently					
Return	Cible	player deck	Collection	Groundbreakers			
	Filtre	other					
	Effet	power	19				
	Duree	until played					

PGB009	James Hall	Paleological Influence	Paleontology	Groundbreakers	Rare	Limited	
8	75						
Play	Condition	turn	1				
	Cible	player hand	Album	Paleontology			
	Effet	power	25				
	Duree	Round	1				

PGB014	Joseph Leidy	Total Fossil	Paleontology	Groundbreakers	Common	Limited	
5	45						
Play	Condition	voisin	next to	Name	Hadrosaurus		
	Cible	player deck	Collection	Herbivores			
	Effet	power	6				
	Duree	permanently					

PGB001	Mary Anning	Fossilist	Paleontology	Groundbreakers	Legendary	Limited	
6	58	Mary					
Draw	Condition	player deck	Album	Science	>	7	
	Condition	player deck	Album	Paleontology	>	7	
	Cible	player deck					
	Effet	power	19				
	Duree	until played					

PGB006	Othniel Charles Marsh	The War Wages On	Paleontology	Groundbreakers	Rare	Limited	
7	65						
Play	Cible	player deck	Collection	Groundbreakers			
	Effet	power	18				
	Duree	until played					
Play	Condition	player deck	Name	Edward Drinker Cope			
	Cible	player deck	Name	Edward Drinker Cope			
	Effet	power	-20				
	Duree	permanently					

PGB013	Patricia Vickers-Rich	Big Birds!	Paleontology	Groundbreakers	Epic	Limited	
7	63						
Play	Cible	player deck	Collection	Fearsome Flyers			
	Filtre	played	>	0			
	Effet	power	20				
	Duree	until played					

PGB002	William Buckland	Full Account	Paleontology	Groundbreakers	Epic	Limited	
8	62						
Play	Condition	voisin	next to	Megalosaurus			
	Cible	player hand	Album	Paleontology			
	Effet	power	11				
	Duree	permanently					

PHE049	Agujaceratops	Up and Out	Paleontology	Herbivores	Common	Limited	
5	37						
Play	Condition	self			=	0	
	Cible	player hand	Collection	Herbivores			
	Effet	power	30				
	Duree	until played					

PHE004	Alamosaurus		Paleontology	Herbivores	Common	Standard	
2	16	2019					

PHE043	Altirhinus	High Snout	Paleontology	Herbivores	Legendary	Standard	
8	79						
Play	Condition	placement	milieu				
	Cible	player deck	Collection	Herbivores			
	Effet	power	16				
	Duree	until played					

PHE035	Amargasaurus	Smaller Sauropod	Paleontology	Herbivores	Rare	Standard	
4	37						
Play	Cible	both hand					
	Filtre	base_power	>	39			
	Effet	power	-20				
	Duree	turn	1				

PHE011	Ankylosaurus	It's Club-berin' Time!	Paleontology	Herbivores	Legendary	Standard	
9	85	2019					
Play	Cible	opponent hand					
	Effet	power	-15				
	Duree	Round	1				

PHE025	Apatosaurus	Apat on the Back	Paleontology	Herbivores	Epic	Limited	
2	21						
Play	Cible	player deck	Name	Flatback Sea Turtle			
	Effet	power	40				
	Duree	until played					
Play	Cible	player deck	Name	Silverback Gorilla			
	Effet	power	40				
	Duree	until played					
Play	Cible	player deck	Name	Humpback Whale			
	Effet	power	40				
	Duree	until played					

PHE038	Aquilos	Basal	Paleontology	Herbivores	Epic	Standard	
4	36						
Play	Cible	player hand	Collection	Herbivores			
	Effet	power	25				
	Duree	turn	1				

PHE041	Aragosaurus	Bulky Body	Paleontology	Herbivores	Epic	Standard	
7	65						
Draw	Condition	player deck	Collection	Herbivores	>	7	
	Cible	player deck	Collection	Herbivores			
	Effet	cost	-1				
	Duree	until played					

PHE006	Argentinosaurus		Paleontology	Herbivores	Common	Standard	
5	47	2020					

PHE024	Barosaurus	He is Heavy, He's My Brother	Paleontology	Herbivores	Rare	Limited	
7	84						
Play	Cible	player hand	Name	Diplodocus			
	Effet	power	49				
	Duree	permanently					

PHE005	Brachiosaurus	Wind Your Neck In	Paleontology	Herbivores	Common	Fusion ingredient	
6	43	2019					
Play	Cible	opponent hand					
	Effet	power	-5				
	Duree	turn	1				

PHE012	Brontosaurus	STOMP!	Paleontology	Herbivores	Rare	Standard	
4	20	2019					
Draw	Cible	player					
	Effet	energy	5				

PHE019	Centrosaurus	Centre of Attention	Paleontology	Herbivores	Legendary	Limited	
5	55	2020					
Play	Condition	arena	Paleontology				
	Cible	self					
	Effet	power	50				
	Duree	permanently					
Play	Acondition	arena	Paleontology				
	Cible	player deck	Collection	Herbivores			
	Filtre	other					
	Effet	power	15				
	Duree	until played					

PHE031	Chilesaurus	Friends Not Food	Paleontology	Herbivores	Rare	Standard	
7	56						
Play	Cible	player deck	Collection	Herbivores			
	Effet	power	7				
	Duree	until played					

PHE034	Corythosaurus	Duck-Billed Lizard	Paleontology	Herbivores	Epic	Standard	
7	75						
Play	Condition	player deck	Collection	Reptiles	>	0	
	Condition	player deck	Collection	Sea Birds	>	0	
	Cible	player deck	Collection	Herbivores			
	Effet	power	16				
	Duree	until played					

PHE046	Demandasaurus	In Demands	Paleontology	Herbivores	Common	Limited	
3	27						
Play	Condition	player deck	Name	Teeth			
	Cible	self					
	Effet	power	20				
	Duree	turn	1				

PHE013	Diabloceratops	Devil Inside	Paleontology	Herbivores	Rare	Limited	
3	22	2019					
Play	Condition	round score	<	0			
	Cible	self					
	Effet	power	22				
	Duree	turn	1				

PHE014	Diplodocus	Double Beam	Paleontology	Herbivores	Epic	Limited	
7	49	2020					
Play	Condition	round score	<	0			
	Cible	self					
	Effet	power	49				
	Duree	turn	1				

PHE020	Edmontosaurus	Top of the Bill	Paleontology	Herbivores	Legendary	Fusion ingredient	
6	55	2020					
Play	Condition	round score	>	-1			
	Cible	self					
	Effet	power	45				
	Duree	turn	1				

PHE036	Einiosaurus	Identification Problems	Paleontology	Herbivores	Epic	Standard	
7	60						
Play	Cible	player deck	Collection	Herbivores			
	Effet	power	10				
	Multiplicateur	player hand	Collection	Herbivores			
	Duree	turn	2				
Play	Cible	player deck	Collection	Herbivores			
	Effet	power	-25				
	Duree	turn	2				

PHE026	Euoplocephalus	Broad Faced	Paleontology	Herbivores	Epic	Limited	
8	65						
Draw	Cible	player					
	Effet	power per turn	3				
	Duree	permanently					
Draw	Cible	self					
	Effet	cost	-1				
	Duree	permanently					

PHE023	Europasaurus	Stout Defence	Paleontology	Herbivores	Epic	Limited	
3	31						
Play	Cible	player hand					
	Filtre	base_power	<	31			
	Effet	power	30				
	Duree	turn	1				

PHE017	Hadrosaurus	Incredible Bulk	Paleontology	Herbivores	Rare	Limited	
8	76	2020					
Play	Cible	player hand	Collection	Herbivores			
	Effet	power	8				
	Duree	permanently					

PHE018	Hellboy, the regaliceratops	Summoned from Hell	Paleontology	Herbivores	Epic	Limited	
6	60	Hell	2020				
Draw	Cible	opponent hand					
	Filtre	random	2				
	Effet	burn	16				
	Duree	Round	1				

PHE027	Iguanodon	Iguana Don	Paleontology	Herbivores	Rare	Limited	
2	16						
Play	Condition	player deck	Name	Green Iguana			
	Cible	player hand	Collection	Reptiles			
	Effet	power	19				
	Duree	Round	1				

PHE022	Lambeosaurus	Hatchet Job	Paleontology	Herbivores	Rare	Limited	
2	18						
Play	Cible	opponent deck	Album	Arts & Culture			
	Effet	power	-20				
	Duree	Round	1				

PHE028	Leaellynasaura	Leaellyn's Lizard	Paleontology	Herbivores	Legendary	Standard	
5	46						
Play	Condition	player played	Collection	Reptiles	>	0	
	Cible	player					
	Effet	energy per turn	2				
	Duree	turn	4				

PHE021	Maiasaura	Good Mother	Paleontology	Herbivores	Epic	Limited	
7	62						
Draw	Cible	player deck	Name	Elasmotherium			
	Cible	player deck	Name	Mother Orangutan			
	Effet	power	30				
	Duree	permanently					

PHE042	Mercuriceratops	Mercuriceratops Gemini	Paleontology	Herbivores	Legendary	Standard	
8	76						
Draw	Condition	player deck	Name	Mercury			
	Cible	player deck	Collection	Herbivores			
	Effet	power	11				
	Duree	until played					
Draw	Condition	player deck	Name	Gemini			
	Cible	player deck	Collection	Herbivores			
	Effet	power	11				
	Duree	until played					

PHE009	Pachycephalosaurus	Headfirst	Paleontology	Herbivores	Common	Standard	
2	15	2019					
Play	Condition	turn	1				
	Cible	self					
	Effet	power	35				
	Duree	turn	1				
Return	Cible	self					
	Effet	cost	3				
	Duree	permanently					

PHE002	Parasaurolophus	Simply the Crest	Paleontology	Herbivores	Common	Standard	
7	62	2019					
Play	Cible	player hand	Name	Tupuxuara			
	Effet	power	30				
	Duree	turn	1				

PHE039	Patagotitan	Living It Large	Paleontology	Herbivores	Legendary	Limited	
8	80	Titan					
Play	Condition	voisin	next to	collection	Land Before Time		
	Cible	player hand	Collection	Paleontology			
	Effet	power	16				
	Duree	until played					

PHE033	Pegomastax	Strong Jaw	Paleontology	Herbivores	Legendary	Standard	
8	75						
Return	Cible	player remaining	Collection	Herbivores			
	Effet	power	24				
	Duree	turn	3				

PHE047	Pentaceratops	Five Horns	Paleontology	Herbivores	Epic	Standard	
5	50						
Play	Cible	player deck	Collection	Herbivores			
	Filtre	random	5				
	Effet	power	15				
	Duree	permanently					

PHE010	Protoceratops		Paleontology	Herbivores	Common	Standard	
7	66	2019					

PHE032	Psittacosaurus	Grounded	Paleontology	Herbivores	Legendary	Standard	
8	65						
Draw	Condition	player deck	Album	Paleontology	=	10	
	Cible	player deck	Collection	Herbivores			
	Effet	power	15				
	Duree	until played					

PHE001	Saltasaurus		Paleontology	Herbivores	Common	Fusion ingredient	
5	42	2019					

PHE045	Shunosaurus	Club-Tailed	Paleontology	Herbivores	Common	Limited	
3	30						
Return	Cible	opponent					
	Effet	power per turn	-10				
	Duree	Round	1				

PHE007	Stegosaurus	Step Up to the Plate	Paleontology	Herbivores	Epic	Fusion ingredient	
7	62	2019					
Play	Cible	both hand	Collection	Herbivores			
	Effet	power	10				
	Duree	until played					

PHE016	Stygimoloch	Ramming Speed	Paleontology	Herbivores	Epic	Limited	
3	65						
Return	Cible	self					
	Effet	power	-35				
	Duree	permanently					

PHE008	Styracaosaurus		Paleontology	Herbivores	Common	Fusion ingredient	
4	37	2019					

PHE040	Supersaurus	Lizard Wizard	Paleontology	Herbivores	Rare	Standard	
5	44						
Draw	Cible	player deck	Collection	Reptiles			
	Effet	power	14				
	Duree	turn	2				

PHE044	Thescelosaurus	Lizard God	Paleontology	Herbivores	Rare	Standard	
3	28						
Play	Cible	player hand	Collection	Reptiles			
	Effet	power	25				
	Duree	turn	1				

PHE003	Triceratops	Three-Pronged Attack	Paleontology	Herbivores	Common	Standard	
7	63	2019					
Play	Cible	player hand					
	Effet	power	10				
	Duree	turn	1				

PHE037	Tsintaosaurus	Qingdao Lizard	Paleontology	Herbivores	Epic	Standard	
5	47						
Play	Cible	player hand	Collection	Reptiles			
	Effet	power	26				
	Duree	until played					

PHU003	Australopithecus Sediba	Karabo	Paleontology	Human Evolution	Rare	Limited	
4	28						
Play	Condition	voisin	oppose				
	Cible	self					
	Effet	power	45				
	Duree	turn	45				

PHU005	Denny	Interspecies	Paleontology	Human Evolution	Epic	Limited	
6	46						
Draw	Cible	self					
	Effet	power	3				
	Multiplicateur	both deck	Album	Paleontology			
	Duree	until played					

PHU007	Flores Man	Nearly Complete	Paleontology	Human Evolution	Common	Limited	
4	10						
Draw	Cible	self					
	Effet	power	3				
	Multiplicateur	player deck	Album	Paleontology			
	Duree	permanently					

PHU011	Homo Ergaster	Working Man	Paleontology	Human Evolution	Rare	Limited	
7	67						
Draw	Condition	player deck	Collection	Human Evolution	>	2	
	Cible	player deck	Collection	Ingenious Inventions			
	Effet	power	17				
	Duree	until played					

PHU014	Homo Habilis	Handy Man	Paleontology	Human Evolution	Common	Limited	
6	56						
Play	Condition	turn	1				
	Cible	player hand	Collection	Human Evolution			
	Effet	power	15				
	Duree	until played					

PHU009	Homo Heidelbergensis	Getting By	Paleontology	Human Evolution	Common	Limited	
4	37						
Play	Cible	player hand	Name	Fire			
	Cible	player hand	Name	Stone Tools			
	Effet	power	25				
	Duree	turn	1				

PHU015	Homo Sapiens	The Human Condition	Paleontology	Human Evolution	Epic	Limited	
7	66						
Draw	Cible	both hand	Album	Arts & Culture			
	Cible	both hand	Album	Science			
	Effet	power	20				
	Duree	permanently					
Draw	Cible	both hand	Album	Life on Land			
	Cible	both hand	Album	Oceans and Seas			
	Effet	power	-20				
	Duree	until played					

PHU002	Java Man	The Missing Link	Paleontology	Human Evolution	Rare	Limited	
2	21						
Draw	Condition	player deck	Collection	Primates	>	1	
	Condition	player deck	Collection	Brilliant Human Body	>	1	
	Cible	player deck	Album	Life on Land			
	Cible	player deck	Album	Science			
	Effet	power	8				
	Duree	until played					

PHU013	Kabwe 1	Older than it Looks	Paleontology	Human Evolution	Rare	Limited	
5	25						
Start	Cible	self					
	Effet	power	9				
	Duree	permanently					

PHU008	Little Foot	Lovable Littlefoot	Paleontology	Human Evolution	Common	Limited	
3	27						
Draw	Cible	player hand	Collection	Land Before Time			
	Effet	power	15				
	Duree	until played					

PHU012	Lucy	Lucy in the Sky	Paleontology	Human Evolution	Rare	Limited	
6	54						
Play	Condition	player deck	keyword	Beetle	>	0	
	Cible	player hand	Collection	Human Evolution			
	Effet	power	30				
	Duree	turn	2				

PHU006	Missing Link	Hypothetical Intermediate	Paleontology	Human Evolution	Legendary	Limited	
7	70						
Play	Condition	player deck	Collection	Human Evolution	<	4	
	Cible	player deck	Collection	Human Evolution			
	Effet	power	30				
	Duree	permanently					

PIC023	Agriotherium	Wild Beast	Paleontology	Ice Age	Epic	Standard	
6	20						
Play	Cible	player hand	Agriotherium				
	Effet	power	10				
	Multiplicateur	player played	Collection	Ice Age	12		
	Duree	permanently					

PIC006	Camelops	Hump Day	Paleontology	Ice Age	Common	Standard	
4	35						
Play	Condition	arena	Paleontology				
	Cible	self					
	Effet	power	30				
	Duree	turn	1				

PIC020	Castoroides	Extended Underwater Activity	Paleontology	Ice Age	Epic	Standard	
5	45						
Draw	Cible	player deck	Collection	Ice Age			
	Effet	power	6				
	Multiplicateur	round completed					
	Duree	until played					

PIC019	Cave Bear	Hiding Out	Paleontology	Ice Age	Legendary	Limited	
7	65						
Draw	Cible	player deck	Collection	Ice Age			
	Effet	power	9				
	Multiplicateur	player deck	Collection	Natural Monuments	5		
	Duree	until played					
Play	Condition	player deck	Collection	Natural Monuments	>	2	
	Cible	player deck	Collection	Mammals			
	Effet	power	25				
	Duree	until played					

PIC013	Celebochoerus	Celeb Gossip	Paleontology	Ice Age	Common	Standard	
2	19						
Draw	Cible	self					
	Effet	power	-8				
	Duree	permanently					
Draw	Cible	player hand					
	Filtre	other					
	Effet	power	6				
	Duree	permanently					

PIC022	Ceratogaulus	Horned Defense	Paleontology	Ice Age	Rare	Standard	
6	56						
Draw	Cible	player hand	Collection	Ice Age			
	Effet	cost	-1				
	Duree	turn	2				

PIC011	Columbian Mammoth	Mammoth Mammoth	Paleontology	Ice Age	Epic	Standard	
8	120						
Draw	Condition	player deck	Album	History	>	1	
	Cible	self					
	Effet	power	-40				
	Duree	until played					

PIC016	Cronopio	Gone Nutty!	Paleontology	Ice Age	Rare	Limited	
3	28						
Draw	Cible	player deck	Name	Woolly Mammoth			
	Cible	player deck	Name	Smilodon			
	Cible	player deck	Name	Megatherium			
	Effet	cost	-1				
	Duree	until played					

PIC007	Doedicurus	Shell to Pay	Paleontology	Ice Age	Common	Standard	
2	18						
Play	Cible	player hand	Name	Glyptodon			
	Cible	player hand	Name	Giant Armadillo			
	Cible	player hand	Collection	Ocean Reptiles			
	Effet	power	10				
	Duree	turn	1				

PIC017	Hagerman Horse	Quarry	Paleontology	Ice Age	Epic	Limited	
4	38	Horse					
Start	Cible	player hand	Album	Life on Land			
	Filtre	random	1				
	Effet	cost	-1				
	Duree	until played					

PIC005	Kyptoceras	Kyptonite	Paleontology	Ice Age	Rare	Standard	
4	37						
Draw	Cible	opponent hand	Album	History			
	Cible	opponent hand	Album	Arts & Culture			
	Effet	power	-15				
	Duree	Round	1				

PIC004	Macrauchenia	Llama Drama	Paleontology	Ice Age	Common	Standard	
5	40						
Play	Cible	opponent hand					
	Effet	power	-2				
	Duree	turn	1				
Play	Cible	self					
	Effet	power	10				
	Duree	permanently					

PIC010	Megaloceros	Great Horn	Paleontology	Ice Age	Legendary	Limited	
5	56	Mega Paleontology					
Draw	Condition	player deck	Collection	Mammals	>	1	
	Cible	player deck	Collection	Mammals			
	Effet	power	24				
	Duree	until played					
Play	Cible	player hand	Name	Gjallarhorn			
	Effet	power	32				
	Duree	turn	1				

PIC012	Megalonyx	Jefferson's Bones	Paleontology	Ice Age	Common	Standard	
4	38	Mega Paleontology					
Play	Cible	player hand	Name	Declaration of Independance			
	Effet	power	60				
	Duree	turn	1				
Return	Cible	player deck	Album	Paleontology			
	Effet	power	4				
	Duree	permanently					

PIC008	Scimitar Cat	Tusk Force	Paleontology	Ice Age	Epic	Limited	
7	49						
Draw	Cible	player deck	Album	Paleontology			
	Filtre	rarity	Rare				
	Effet	cost	-1				
	Duree	permanently					
Draw	Cible	player deck	Album	Paleontology			
	Filtre	rarity	Epic				
	Effet	cost	-1				
	Duree	permanently					

PIC002	Short-faced Bear	Role Rev-Ursa	Paleontology	Ice Age	Legendary	Limited	
7	75						
Return	Condition	round score	<	0			
	Cible	player					
	Effet	power per turn	15				
	Duree	Round	1				
Return	Condition	round score	<	0			
	Cible	opponent					
	Effet	power per turn	-15				
	Duree	Round	1				
Return	Condition	player deck	Collection	Ice Age	>	9	
	Cible	player deck	Collection	Ice Age			
	Filtre	random	10				
	Effet	power	15				
	Duree	until played					

PIC021	Sinomegaceros	Giant Deer	Paleontology	Ice Age	Legendary	Standard	
5	38	Mega Paleontology					
Play	Condition	voisin	next to	Name	Megaloceros		
	Cible	player hand	Album	Paleontology			
	Effet	power	20				
	Duree	until played					

PIC009	Straight-Tusked Elephant	Straight-Forward	Paleontology	Ice Age	Rare	Limited	
3	10						
Play	Cible	player					
	Effet	power per turn	7				
	Duree	Round	1				
Play	Cible	player hand	Album	Paleontology			
	Effet	power	18				
	Duree	turn	1				

PIC014	Tasmanian Emu	Tas-Team	Paleontology	Ice Age	Epic	Limited	
5	33						
Draw	Cible	player deck	Name	Tasmanian Devil			
	Effet	cost	-2				
	Duree	until played					
Play	Cible	player deck	Collection	Ice Age			
	Effet	power	20				
	Duree	turn	3				
Return	Cible	player deck	Collection	Marsupials			
	Effet	power	17				
	Duree	Round	1				

PIC018	Thylacoleo	Wounding Bite	Paleontology	Ice Age	Rare	Standard	
6	57						
Play	Cible	voisin	oppose				
	Effet	power	-25				
	Duree	turn	1				
Return	Cible	voisin	oppose				
	Effet	cost	2				
	Duree	until played					

PIC003	Woolly Rhino	Crash Test	Paleontology	Ice Age	Epic	Limited	
6	60						
Play	Cible	player deck	Name	Elasmotherium			
	Cible	player deck	Name	Black Rhinoceros			
	Cible	player deck	Name	Southern White Rhinoceros			
	Effet	power	20				
	Duree	until played					

PLB007	Antarctic Rainforest	Warm Interval	Paleontology	Land Before Time	Epic	Limited	
6	56						
Play	Condition	Round	=	1			
	Cible	player deck	Collection	Ice Age			
	Effet	power	20				
	Duree	until played					
Play	Condition	Round	=	2			
	Cible	player deck	Collection	Ancient Creatures			
	Effet	power	20				
	Duree	until played					
Play	Condition	Round	=	3			
	Cible	player deck	Collection	Ice Age			
	Effet	power	20				
	Duree	until played					
Play	Condition	Round	=	4			
	Cible	player deck	Collection	Ancient Creatures			
	Effet	power	20				
	Duree	until played					
Play	Condition	Round	=	5			
	Cible	player deck	Collection	Ice Age			
	Effet	power	20				
	Duree	until played					

PLB001	Chicxulub Crater	Massive Impact	Paleontology	Land Before Time	Epic	Limited	
8	67						
Play	Cible	player deck	Album	Paleontology			
	Effet	power	-7				
	Duree	until played					
Play	Cible	player deck	Album	Space			
	Effet	power	7				
	Duree	until played					

PLB010	Eye of Quebec	Triassic Vision	Paleontology	Land Before Time	Rare	Limited	
5	30	Eye					
Play	Condition	voisin	gauche	album	paleontology		
	Condition	voisin	droite	album	paleontology		
	Cible	player hand	Album	Paleontology			
	Effet	power	15				
	Duree	until played					

PLB009	Garden of Ediacara	Evolutionary Radiation	Paleontology	Land Before Time	Epic	Limited	
6	51						
Draw	Condition	player played	Album	Paleontology	>	3	
	Cible	player hand	Album	Oceans and Seas			
	Effet	power	36				
	Duree	turn	1				

PLB011	Hell Creek Formation	Fossil Hunting	Paleontology	Land Before Time	Legendary	Limited	
8	78	Hell					
Draw	Cible	player deck	Album	Paleontology			
	Effet	power	10				
	Duree	until played					
Draw	Cible	player deck	Collection	Groundbreakers			
	Cible	player deck	Collection	Land Before Time			
	Effet	power	20				
	Duree	turn	5				

PLB002	Lepidodendron	Serpent Tree	Paleontology	Land Before Time	Legendary	Limited	
6	69						
Draw	Cible	player deck	Collection	Tremendous Trees			
	Cible	player deck	Collection	Reptiles			
	Filtre	rarity	Common				
	Effet	power	20				
	Duree	permanently					
Draw	Cible	player deck	Collection	Tremendous Trees			
	Cible	player deck	Collection	Reptiles			
	Filtre	rarity	Rare				
	Effet	power	20				
	Duree	permanently					

PLB005	Pannotia	Relatively Short-Lived	Paleontology	Land Before Time	Rare	Limited	
6	97						
Start	Cible	self					
	Effet	power	-10				
	Duree	permanently					

PLB008	Panthalassa	Pangea's Superocean	Paleontology	Land Before Time	Common	Limited	
5	47						
Play	Condition	voisin	next to	Name	Pangea		
